TIPOTRANSACCION,TRANSACCIONID,FECHA,FECHACONTABLE,CATEGORIA,NUMERODOCUMENTO,DOCUMENTO,ESTABLECIMIENTO,ZONA,LOTE,ACTIVIDAD,CTG,LABORPRODUCTO,LABORPRODUCTOID,LOTEACTIVIDADID,IMPLEMENTO,PARTIDA,SUPERFICIE,SUPERFICIEASIGNADA,CANTIDAD,UNIDAD,CANTIDADSECUNDARIA,UNIDADSECUNDARIA,IMPORTE,DESCRIPCION,CANTIDADHA,DEPOSITO,PRECIO,TIPOLABOR,PLANAGRICOLAITEMDESC,INDICADOR,TIPO,ESTADO,PRODUCTOTIPO,CLASEVO,CAMPANIA,AMBIENTE,ANOMES,COORDENADAS,PORCENTAJEHUMEDAD,LABORUTADA,MONEDAPRODUCTO,MONEDATRANSACCION,CANTIDADHUMEDA,CANTIDADSECA,SUPERFICIECOSECHADA,SUPERFICIESEMBRADA,RINDESECOSEMBRADO,RINDESECOCOSECHADO,IMPORTEHA,EMPRESA,ESTADIO,VARIEDAD,LUGARID,ACTIVIDADID,CAMPANAID,BANDATOXICOLOGICA,PRODUCTOFAMILIAID,PRODUCTORUBROID,CENTROCOSTO,RINDECANTHALOTE,RINDECANTHAESTABLECIMIENTO,IMPORTEHARINDELOTE,IMPORTEHARINDEESTABLECIMIENTO,MARCA,PRINCIPIOACTIVO,SUBFAMILIA,FAMILIA,RUBRO
Compra,167456,2023-06-30,2023-06-30,Cosecha,,"COS-TRAS - 2845","El Guayaibi","El Tocon",Lote21,"Maiz 1°",10110648201,"Grano Maíz",491,2097,,"CAMPAÑA 22/23",NULL,115,2440,Kilos,0,NULL,0,"Generado por TRAS-COS - 2825 - JESUS MARIA - HYH - CAMPAÑA 22-23",0,"GUAYAIBI MAIZ",0,Propia,,NULL,Producción,Ejecutado,Producción,LaboreoParteVO,"CAMPAÑA 22/23","Gatton Panic",2023-06,,NULL,NULL,PESOS,PESOS,2440,2440,115,115,21.2174,21.2174,0,"HYH Outfitters S.A.",NULL,NULL,58,42,23,NULL,16,9,"El Guayaibi-Maiz 1°-CAMPAÑA 22/23",21.2174,1.2055,0,0,,,,CEREALES,Granos
Compra,167998,2023-07-02,2023-07-02,Cosecha,,"COS-TRAS - 2888","El Guayaibi","El Tocon",Lote21,"Maiz 1°",10110681392,"Grano Maíz",491,2097,,"CAMPAÑA 22/23",NULL,115,16600,Kilos,0,NULL,0,"Generado por TRAS-COS - 2868 - ",0,"GUAYAIBI MAIZ",0,Propia,,NULL,Producción,Ejecutado,Producción,LaboreoParteVO,"CAMPAÑA 22/23","Gatton Panic",2023-07,,NULL,NULL,PESOS,PESOS,16600,16600,115,115,144.348,144.348,0,"HYH Outfitters S.A.",NULL,NULL,58,42,23,NULL,16,9,"El Guayaibi-Maiz 1°-CAMPAÑA 22/23",144.3478,8.2016,0,0,,,,CEREALES,Granos
Compra,168106,2023-07-02,2023-07-02,Cosecha,,"COS-TRAS - 2889","El Guayaibi","El Tocon",Lote21,"Maiz 1°",10110683156,"Grano Maíz",491,2097,,"CAMPAÑA 22/23",NULL,115,36980,Kilos,0,NULL,0,"Generado por TRAS-COS - 2869 - ",0,"GUAYAIBI MAIZ",0,Propia,,NULL,Producción,Ejecutado,Producción,LaboreoParteVO,"CAMPAÑA 22/23","Gatton Panic",2023-07,,NULL,NULL,PESOS,PESOS,36980,36980,115,115,321.565,321.565,0,"HYH Outfitters S.A.",NULL,NULL,58,42,23,NULL,16,9,"El Guayaibi-Maiz 1°-CAMPAÑA 22/23",321.5652,18.2708,0,0,,,,CEREALES,Granos
Compra,177137,2023-07-30,2023-07-30,Cosecha,,"COS-TRAS - 3275","El Guayaibi","El Tocon",Lote22,"Maiz 1°",10111170073,"Grano Maíz",491,2098,,"CAMPAÑA 22/23",NULL,130,36420,Kilos,0,NULL,0,"Generado por TRAS-COS - 3236 - CARGILL SACI - RIO PRIMERO - GUYAIBI/ PAMPA DEL INFIERNO - MAIZ 22/23",0,"GUAYAIBI MAIZ",0,Propia,,NULL,Producción,Ejecutado,Producción,LaboreoParteVO,"CAMPAÑA 22/23","Gatton Panic",2023-07,,NULL,NULL,PESOS,PESOS,36420,36420,130,130,280.154,280.154,0,"HYH Outfitters S.A.",NULL,NULL,58,42,23,NULL,16,9,"El Guayaibi-Maiz 1°-CAMPAÑA 22/23",280.1538,17.9941,0,0,,,,CEREALES,Granos
Compra,176985,2023-07-27,2023-07-27,Cosecha,,"COS-TRAS - 3269","El Guayaibi","El Tocon",Lote22,"Maiz 1°",10111154567,"Grano Maíz",491,2098,,"CAMPAÑA 22/23",NULL,130,28980,Kilos,0,NULL,0,"Generado por TRAS-COS - 3230 - CARGILL SACI - RIO PRIMERO - GUAYAIBI/ PAMPA DEL INFIERNO- MAIZ DURO 22/23",0,"GUAYAIBI MAIZ",0,Propia,,NULL,Producción,Ejecutado,Producción,LaboreoParteVO,"CAMPAÑA 22/23","Gatton Panic",2023-07,,NULL,NULL,PESOS,PESOS,28980,28980,130,130,222.923,222.923,0,"HYH Outfitters S.A.",NULL,NULL,58,42,23,NULL,16,9,"El Guayaibi-Maiz 1°-CAMPAÑA 22/23",222.9231,14.3182,0,0,,,,CEREALES,Granos
Compra,168108,2023-07-02,2023-07-02,Cosecha,,"COS-TRAS - 2890","El Guayaibi","El Tocon",Lote23,"Maiz 1°",10110683954,"Grano Maíz",491,2099,,"CAMPAÑA 22/23",NULL,145,36560,Kilos,0,NULL,0,"Generado por TRAS-COS - 2870 - ",0,"GUAYAIBI MAIZ",0,Propia,,NULL,Producción,Ejecutado,Producción,LaboreoParteVO,"CAMPAÑA 22/23","Gatton Panic",2023-07,,NULL,NULL,PESOS,PESOS,36560,36560,145,145,252.138,252.138,0,"HYH Outfitters S.A.",NULL,NULL,58,42,23,NULL,16,9,"El Guayaibi-Maiz 1°-CAMPAÑA 22/23",252.1379,18.0632,0,0,,,,CEREALES,Granos
Compra,168174,2023-07-03,2023-07-03,Cosecha,,"COS-TRAS - 2895","El Guayaibi","El Tocon",Lote23,"Maiz 1°",10110691078,"Grano Maíz",491,2099,,"CAMPAÑA 22/23",NULL,145,29640,Kilos,0,NULL,0,"Generado por TRAS-COS - 2875 - ",0,"GUAYAIBI MAIZ",0,Propia,,NULL,Producción,Ejecutado,Producción,LaboreoParteVO,"CAMPAÑA 22/23","Gatton Panic",2023-07,,NULL,NULL,PESOS,PESOS,29640,29640,145,145,204.414,204.414,0,"HYH Outfitters S.A.",NULL,NULL,58,42,23,NULL,16,9,"El Guayaibi-Maiz 1°-CAMPAÑA 22/23",204.4138,14.6443,0,0,,,,CEREALES,Granos
Compra,169091,2023-07-02,2023-07-02,Cosecha,0861,"COS-PAS - 881","El Guayaibi","El Tocon",Lote23,"Maiz 1°",NULL,"Grano Maíz",491,2099,,"CAMPAÑA 22/23",145,145,17600,Kilos,0,NULL,0,"Maíz - Bolsa N°25",121.379,EG-025,0,Propia,,Ha.,Producción,Ejecutado,Producción,LaboreoParteVO,"CAMPAÑA 22/23","Gatton Panic",2023-07,,NULL,"Cosecha Gruesa",PESOS,PESOS,17600,17600,145,145,121.379,121.379,0,"HYH Outfitters S.A.",NULL,NULL,58,42,23,NULL,16,9,"El Guayaibi-Maiz 1°-CAMPAÑA 22/23",121.3793,8.6957,0,0,,,,CEREALES,Granos
Compra,167443,2023-06-30,2023-06-30,Cosecha,,"COS-TRAS - 2843","El Guayaibi","El Tocon",Lote23,"Maiz 1°",10110647305,"Grano Maíz",491,2099,,"CAMPAÑA 22/23",NULL,145,5000,Kilos,0,NULL,0,"Generado por TRAS-COS - 2823 - ",0,"GUAYAIBI MAIZ",0,Propia,,NULL,Producción,Ejecutado,Producción,LaboreoParteVO,"CAMPAÑA 22/23","Gatton Panic",2023-06,,NULL,NULL,PESOS,PESOS,5000,5000,145,145,34.4828,34.4828,0,"HYH Outfitters S.A.",NULL,NULL,58,42,23,NULL,16,9,"El Guayaibi-Maiz 1°-CAMPAÑA 22/23",34.4828,2.4704,0,0,,,,CEREALES,Granos
Compra,167998,2023-07-02,2023-07-02,Cosecha,,"COS-TRAS - 2888","El Guayaibi","El Tocon",Lote27,"Maiz 1°",10110681392,"Grano Maíz",491,2100,,"CAMPAÑA 22/23",NULL,130,17580,Kilos,0,NULL,0,"Generado por TRAS-COS - 2868 - ",0,"GUAYAIBI MAIZ",0,Propia,,NULL,Producción,Ejecutado,Producción,LaboreoParteVO,"CAMPAÑA 22/23","Gatton Panic",2023-07,,NULL,NULL,PESOS,PESOS,17580,17580,130,130,135.231,135.231,0,"HYH Outfitters S.A.",NULL,NULL,58,42,23,NULL,16,9,"El Guayaibi-Maiz 1°-CAMPAÑA 22/23",135.2308,8.6858,0,0,,,,CEREALES,Granos
Compra,167996,2023-07-02,2023-07-02,Cosecha,,"COS-TRAS - 2887","El Guayaibi","El Tocon",Lote27,"Maiz 1°",10110681382,"Grano Maíz",491,2100,,"CAMPAÑA 22/23",NULL,130,23300,Kilos,0,NULL,0,"Generado por TRAS-COS - 2867 - ",0,"GUAYAIBI MAIZ",0,Propia,,NULL,Producción,Ejecutado,Producción,LaboreoParteVO,"CAMPAÑA 22/23","Gatton Panic",2023-07,,NULL,NULL,PESOS,PESOS,23300,23300,130,130,179.231,179.231,0,"HYH Outfitters S.A.",NULL,NULL,58,42,23,NULL,16,9,"El Guayaibi-Maiz 1°-CAMPAÑA 22/23",179.2308,11.5119,0,0,,,,CEREALES,Granos
Compra,167994,2023-07-01,2023-07-01,Cosecha,,"COS-TRAS - 2886","El Guayaibi","El Tocon",Lote27,"Maiz 1°",10110676928,"Grano Maíz",491,2100,,"CAMPAÑA 22/23",NULL,130,22800,Kilos,0,NULL,0,"Generado por TRAS-COS - 2866 - ",0,"GUAYAIBI MAIZ",0,Propia,,NULL,Producción,Ejecutado,Producción,LaboreoParteVO,"CAMPAÑA 22/23","Gatton Panic",2023-07,,NULL,NULL,PESOS,PESOS,22800,22800,130,130,175.385,175.385,0,"HYH Outfitters S.A.",NULL,NULL,58,42,23,NULL,16,9,"El Guayaibi-Maiz 1°-CAMPAÑA 22/23",175.3846,11.2648,0,0,,,,CEREALES,Granos
Compra,167992,2023-07-01,2023-07-01,Cosecha,,"COS-TRAS - 2885","El Guayaibi","El Tocon",Lote28,"Maiz 1°",10110676762,"Grano Maíz",491,2101,,"CAMPAÑA 22/23",NULL,130,35800,Kilos,0,NULL,0,"Generado por TRAS-COS - 2865 - ",0,"GUAYAIBI MAIZ",0,Propia,,NULL,Producción,Ejecutado,Producción,LaboreoParteVO,"CAMPAÑA 22/23","Gatton Panic",2023-07,,NULL,NULL,PESOS,PESOS,35800,35800,130,130,275.385,275.385,0,"HYH Outfitters S.A.",NULL,NULL,58,42,23,NULL,16,9,"El Guayaibi-Maiz 1°-CAMPAÑA 22/23",275.3846,17.6877,0,0,,,,CEREALES,Granos
Compra,167994,2023-07-01,2023-07-01,Cosecha,,"COS-TRAS - 2886","El Guayaibi","El Tocon",Lote28,"Maiz 1°",10110676928,"Grano Maíz",491,2101,,"CAMPAÑA 22/23",NULL,130,1000,Kilos,0,NULL,0,"Generado por TRAS-COS - 2866 - ",0,"GUAYAIBI MAIZ",0,Propia,,NULL,Producción,Ejecutado,Producción,LaboreoParteVO,"CAMPAÑA 22/23","Gatton Panic",2023-07,,NULL,NULL,PESOS,PESOS,1000,1000,130,130,7.6923,7.6923,0,"HYH Outfitters S.A.",NULL,NULL,58,42,23,NULL,16,9,"El Guayaibi-Maiz 1°-CAMPAÑA 22/23",7.6923,0.4941,0,0,,,,CEREALES,Granos
Compra,167876,2023-07-01,2023-07-01,Cosecha,,"COS-TRAS - 2881","El Guayaibi","El Tocon",Lote28,"Maiz 1°",10110669126,"Grano Maíz",491,2101,,"CAMPAÑA 22/23",NULL,130,36440,Kilos,0,NULL,0,"Generado por TRAS-COS - 2861 - ",0,"GUAYAIBI MAIZ",0,Propia,,NULL,Producción,Ejecutado,Producción,LaboreoParteVO,"CAMPAÑA 22/23","Gatton Panic",2023-07,,NULL,NULL,PESOS,PESOS,36440,36440,130,130,280.308,280.308,0,"HYH Outfitters S.A.",NULL,NULL,58,42,23,NULL,16,9,"El Guayaibi-Maiz 1°-CAMPAÑA 22/23",280.3077,18.004,0,0,,,,CEREALES,Granos
Compra,167878,2023-07-01,2023-07-01,Cosecha,,"COS-TRAS - 2882","El Guayaibi","El Tocon",Lote28,"Maiz 1°",10110669168,"Grano Maíz",491,2101,,"CAMPAÑA 22/23",NULL,130,35540,Kilos,0,NULL,0,"Generado por TRAS-COS - 2862 - ",0,"GUAYAIBI MAIZ",0,Propia,,NULL,Producción,Ejecutado,Producción,LaboreoParteVO,"CAMPAÑA 22/23","Gatton Panic",2023-07,,NULL,NULL,PESOS,PESOS,35540,35540,130,130,273.385,273.385,0,"HYH Outfitters S.A.",NULL,NULL,58,42,23,NULL,16,9,"El Guayaibi-Maiz 1°-CAMPAÑA 22/23",273.3846,17.5593,0,0,,,,CEREALES,Granos
Compra,167890,2023-07-01,2023-07-01,Cosecha,,"COS-TRAS - 2883","El Guayaibi","El Tocon",Lote28,"Maiz 1°",10110669391,"Grano Maíz",491,2101,,"CAMPAÑA 22/23",NULL,130,34260,Kilos,0,NULL,0,"Generado por TRAS-COS - 2863 - ",0,"GUAYAIBI MAIZ",0,Propia,,NULL,Producción,Ejecutado,Producción,LaboreoParteVO,"CAMPAÑA 22/23","Gatton Panic",2023-07,,NULL,NULL,PESOS,PESOS,34260,34260,130,130,263.539,263.539,0,"HYH Outfitters S.A.",NULL,NULL,58,42,23,NULL,16,9,"El Guayaibi-Maiz 1°-CAMPAÑA 22/23",263.5385,16.9269,0,0,,,,CEREALES,Granos
Compra,167443,2023-06-30,2023-06-30,Cosecha,,"COS-TRAS - 2843","El Guayaibi","El Tocon",Lote28,"Maiz 1°",10110647305,"Grano Maíz",491,2101,,"CAMPAÑA 22/23",NULL,130,1250,Kilos,0,NULL,0,"Generado por TRAS-COS - 2823 - ",0,"GUAYAIBI MAIZ",0,Propia,,NULL,Producción,Ejecutado,Producción,LaboreoParteVO,"CAMPAÑA 22/23","Gatton Panic",2023-06,,NULL,NULL,PESOS,PESOS,1250,1250,130,130,9.6154,9.6154,0,"HYH Outfitters S.A.",NULL,NULL,58,42,23,NULL,16,9,"El Guayaibi-Maiz 1°-CAMPAÑA 22/23",9.6154,0.6176,0,0,,,,CEREALES,Granos
Compra,167456,2023-06-30,2023-06-30,Cosecha,,"COS-TRAS - 2845","El Guayaibi","El Tocon",Lote28,"Maiz 1°",10110648201,"Grano Maíz",491,2101,,"CAMPAÑA 22/23",NULL,130,1250,Kilos,0,NULL,0,"Generado por TRAS-COS - 2825 - JESUS MARIA - HYH - CAMPAÑA 22-23",0,"GUAYAIBI MAIZ",0,Propia,,NULL,Producción,Ejecutado,Producción,LaboreoParteVO,"CAMPAÑA 22/23","Gatton Panic",2023-06,,NULL,NULL,PESOS,PESOS,1250,1250,130,130,9.6154,9.6154,0,"HYH Outfitters S.A.",NULL,NULL,58,42,23,NULL,16,9,"El Guayaibi-Maiz 1°-CAMPAÑA 22/23",9.6154,0.6176,0,0,,,,CEREALES,Granos
Compra,157026,2023-05-24,2023-05-24,Cosecha,0747,"COS-PAS - 765","Don Pedro","El Tocon","Lote 1","Soja 1°",NULL,"Grano Soja",391,2106,,"CAMPAÑA 22/23",93,93,19200,Kilos,0,NULL,0,"Soja - Bolsa N° 1",206.452,DP-001,0,Propia,,Ha.,Producción,Ejecutado,Producción,LaboreoParteVO,"CAMPAÑA 22/23",Maíz,2023-05,,NULL,"Cosecha Gruesa",PESOS,PESOS,19200,19200,93,93,206.452,206.452,0,"HYH Outfitters S.A.",NULL,NULL,59,33,23,NULL,17,9,"Don Pedro-Soja 1°-CAMPAÑA 22/23",206.4516,21.2389,0,0,,,,OLEAGINOSAS,Granos
Compra,154726,2023-05-16,2023-05-16,Cosecha,,"COS-TRAS - 2463","Don Pedro","El Tocon","Lote 1","Soja 1°",10109883518,"Grano Soja",391,2106,,"CAMPAÑA 22/23",NULL,93,31140,Kilos,0,NULL,0,"Generado por TRAS-COS - 2446 - ",0,"BLOQUE DON PEDRO",0,Propia,,NULL,Producción,Ejecutado,Producción,LaboreoParteVO,"CAMPAÑA 22/23",Maíz,2023-05,,NULL,NULL,PESOS,PESOS,31140,31140,93,93,334.839,334.839,0,"HYH Outfitters S.A.",NULL,NULL,59,33,23,NULL,17,9,"Don Pedro-Soja 1°-CAMPAÑA 22/23",334.8387,34.4469,0,0,,,,OLEAGINOSAS,Granos
Compra,154732,2023-05-16,2023-05-16,Cosecha,,"COS-TRAS - 2464","Don Pedro","El Tocon","Lote 1","Soja 1°",10109883830,"Grano Soja",391,2106,,"CAMPAÑA 22/23",NULL,93,30300,Kilos,0,NULL,0,"Generado por TRAS-COS - 2447 - ",0,"BLOQUE DON PEDRO",0,Propia,,NULL,Producción,Ejecutado,Producción,LaboreoParteVO,"CAMPAÑA 22/23",Maíz,2023-05,,NULL,NULL,PESOS,PESOS,30300,30300,93,93,325.806,325.806,0,"HYH Outfitters S.A.",NULL,NULL,59,33,23,NULL,17,9,"Don Pedro-Soja 1°-CAMPAÑA 22/23",325.8065,33.5177,0,0,,,,OLEAGINOSAS,Granos
Compra,154739,2023-05-16,2023-05-16,Cosecha,,"COS-TRAS - 2465","Don Pedro","El Tocon","Lote 1","Soja 1°",10109884154,"Grano Soja",391,2106,,"CAMPAÑA 22/23",NULL,93,36560,Kilos,0,NULL,0,"Generado por TRAS-COS - 2448 - ",0,"BLOQUE DON PEDRO",0,Propia,,NULL,Producción,Ejecutado,Producción,LaboreoParteVO,"CAMPAÑA 22/23",Maíz,2023-05,,NULL,NULL,PESOS,PESOS,36560,36560,93,93,393.118,393.118,0,"HYH Outfitters S.A.",NULL,NULL,59,33,23,NULL,17,9,"Don Pedro-Soja 1°-CAMPAÑA 22/23",393.1183,40.4425,0,0,,,,OLEAGINOSAS,Granos
Compra,164050,2023-06-21,2023-06-21,Cosecha,0782,"COS-PAS - 802","La Lejania","Bajo Hondo","Lote 2","Maiz 1°",NULL,"Grano Maíz",491,2188,,"CAMPAÑA 22/23",153,153,229500,Kilos,0,NULL,0,LL-M-005-22/23,1500,LL-005,0,Propia,,Ha.,Producción,Ejecutado,Producción,LaboreoParteVO,"CAMPAÑA 22/23","Gramínea cobertura",2023-06,,14.2,"Cosecha Gruesa",PESOS,PESOS,229500,229500,155,153,1500,1480.65,0,"HYH Outfitters S.A.",NULL,NULL,61,42,23,NULL,16,9,"La Lejania-Maiz 1°-CAMPAÑA 22/23",1500,496.2162,0,0,,,,CEREALES,Granos
